id,package,date,categories,CWE,url,references,severity,aliases,keywords,versions,affected,affected.functions,fix commit links,pov candidate links
RUSTSEC-2024-0376,tonic,2024-10-01,"[""denial-of-service""]","[""CWE-755""]",https://github.com/hyperium/tonic/security/advisories/GHSA-4jwc-w2hc-78qv,[N/A],[N/A],"[""CVE-2024-47609"", ""GHSA-4jwc-w2hc-78qv""]","[""dos""]","patched = ["">= 0.12.3""]
unaffected = [""<= 0.11.0""]",[N/A],[N/A],https://github.com/hyperium/tonic/commit/a4472a86f3290e60c7c01348b7e6a8164d6e7e48,https://github.com/hyperium/tonic/issues/1897
RUSTSEC-2024-0373,quinn-proto,2024-09-02,"[""denial-of-service""]","[""CWE-670""]",https://github.com/quinn-rs/quinn,[N/A],High,"[""GHSA-vr26-jcq5-fjj8"", ""CVE-2024-45311""]","[""panic""]","patched = ["">= 0.11.7""]
unaffected = [""< 0.11.0""]",[N/A],[N/A],https://github.com/quinn-rs/quinn/commit/e01609ccd8738bd438d86fa7185a0f85598cb58f,https://github.com/quinn-rs/quinn/security/advisories/GHSA-vr26-jcq5-fjj8
RUSTSEC-2024-0369,phonenumber,2024-07-07,"[""denial-of-service""]","[""CWE-248"", ""CWE-284"", ""CWE-392"", ""CWE-617"", ""CWE-1284""]",https://github.com/whisperfish/rust-phonenumber/security/advisories/GHSA-mjw4-jj88-v687,"[""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-39697""]",High,"[""CVE-2024-39697"", ""GHSA-mjw4-jj88-v687""]","[""panic"", ""untrusted input"", ""parsing""]","patched = ["">=0.3.6""]
unaffected = [""< 0.3.3""]","functions = { ""phonenumber::parse"" = [""*""] }",[N/A],https://github.com/whisperfish/rust-phonenumber/commit/b792151b17fc90231c232a23935830c2266f3203,https://github.com/whisperfish/rust-phonenumber/commit/b792151b17fc90231c232a23935830c2266f3203
RUSTSEC-2024-0363,sqlx,2024-08-15,"[""format-injection""]",[],https://github.com/launchbadge/sqlx/issues/3440,[N/A],[N/A],[N/A],"[""sql"", ""injection"", ""overflow"", ""truncation""]","patched = ["">= 0.8.1""]",[N/A],[N/A],https://github.com/launchbadge/sqlx/commit/bf13a7706be2732f5fbfedce6c7064d91d4d3eaf,https://github.com/launchbadge/sqlx/issues/3440#issuecomment-2307956901
RUSTSEC-2024-0362,alloy-json-abi,2024-07-30,"[""denial-of-service""]",[],https://github.com/alloy-rs/core/issues/702,[N/A],[N/A],[N/A],"[""stack-overflow""]","patched = ["">= 0.7.7""]",[N/A],[N/A],https://github.com/alloy-rs/core/pull/703/files,https://github.com/alloy-rs/core/issues/702
RUSTSEC-2024-0357,openssl,2024-07-21,"[""memory-corruption""]",[],https://github.com/sfackler/rust-openssl/pull/2266,[N/A],[N/A],[N/A],[N/A],"patched = ["">= 0.10.66""]","functions = { ""openssl::bio::MemBio::get_buf"" = [""< 0.10.66, >=0.8.0""] }",[N/A],https://github.com/sfackler/rust-openssl/pull/2266/files,https://github.com/sfackler/rust-openssl/pull/2266/files
RUSTSEC-2024-0356,matrix-sdk-crypto,2024-07-18,"[""crypto-failure""]","[""CWE-287"", ""CWE-863""]",https://github.com/matrix-org/matrix-rust-sdk/security/advisories/GHSA-4qg4-cvh2-crgg,[N/A],[N/A],"[""CVE-2024-40648"", ""GHSA-4qg4-cvh2-crgg""]",[N/A],"patched = ["">= 0.7.2""]","functions = { ""matrix_sdk_crypto::UserIdentity::is_verified"" = [""< 0.7.2""] }",[N/A],https://github.com/matrix-org/matrix-rust-sdk/commit/76a7052149bb8f722df12da915b3a06d19a6695a,https://github.com/matrix-org/matrix-rust-sdk/commit/76a7052149bb8f722df12da915b3a06d19a6695a
RUSTSEC-2024-0350,gix-fs,2024-05-22,"[""code-execution""]","[""CWE-22"", ""CWE-23""]",https://github.com/Byron/gitoxide/security/advisories/GHSA-7w47-3wg8-547c,"[ ""https://github.com/advisories/GHSA-7w47-3wg8-547c"", ""https://nvd.nist.gov/vuln/detail/CVE-2024-35186"", ]",High,"[""CVE-2024-35186"", ""GHSA-7w47-3wg8-547c""]","[""directory-traversal""]","patched = ["">= 0.11.0""]",[N/A],[N/A],https://github.com/GitoxideLabs/gitoxide/commit/79dce79c62f6072aa2653780d590dc3993dfa401,https://github.com/GitoxideLabs/gitoxide/security/advisories/GHSA-7w47-3wg8-547c
RUSTSEC-2024-0345,sequoia-openpgp,2024-06-26,"[""denial-of-service""]",[],https://gitlab.com/sequoia-pgp/sequoia/-/issues/1106,[N/A],[N/A],[N/A],"[""infinite-loop""]","patched = ["">= 1.21.0""]
unaffected = [""< 1.13.0""]","functions = { ""sequoia_openpgp::cert::raw::RawCertParser"" = ["">= 1.13.0, < 1.21.0""] }",[N/A],https://gitlab.com/sequoia-pgp/sequoia/-/commit/81fa1d8440116712365106bca7bd81b46349d9c0,https://gitlab.com/sequoia-pgp/sequoia/-/issues/1106
RUSTSEC-2024-0343,nano-id,2024-06-03,"[""crypto-failure""]","[""CWE-331""]",[N/A],[N/A],Critical,"[""GHSA-2hfw-w739-p7x5"", ""GHSA-9hc7-6w9r-wj94"", ""CVE-2024-36400""]",[N/A],"patched = ["">= 0.4.0""]","functions = { ""nano_id::base58"" = [""< 0.4.0""], ""nano_id::base62"" = [""< 0.4.0""], ""nano_id::gen"" = [""< 0.4.0""] }",[N/A],https://github.com/viz-rs/nano-id/commit/a9022772b2f1ce38929b5b81eccc670ac9d3ab23,https://rustsec.org/advisories/RUSTSEC-2024-0343
RUSTSEC-2024-0341,tls-listener,2024-03-15,"[""denial-of-service""]","[""CWE-400""]",https://github.com/tmccombs/tls-listener/security/advisories/GHSA-2qph-qpvm-2qf7,[N/A],High,"[""CVE-2024-28854"", ""GHSA-2qph-qpvm-2qf7""]",[N/A],"patched = ["">= 0.10.0""]","functions = { ""tls_listener::TlsListener::new"" = [""< 0.10.0""] }",[N/A],https://github.com/tmccombs/tls-listener/commit/d5a7655d6ea9e53ab57c3013092c5576da964bc4,https://github.com/tmccombs/tls-listener/security/advisories/GHSA-2qph-qpvm-2qf7
RUSTSEC-2024-0336,rustls,2024-04-19,"[""denial-of-service""]","[""CWE-835""]",https://github.com/rustls/rustls/security/advisories/GHSA-6g7w-8wpp-frhj,[N/A],High,"[""CVE-2024-32650"", ""GHSA-6g7w-8wpp-frhj""]",[N/A],"patched = ["">= 0.23.5"", "">= 0.22.4, < 0.23.0"", "">= 0.21.11, < 0.22.0""]","functions = { ""rustls::ConnectionCommon::complete_io"" = [""<= 0.23.4"", ""<= 0.22.3"", ""<= 0.21.10"", ""0.20""] }",[N/A],"https://github.com/rustls/rustls/commit/f45664fbded03d833dffd806503d3c8becd1b71e

https://github.com/rustls/rustls/commit/6e938bcfe82a9da7a2e1cbf10b928c7eca26426e 

https://github.com/rustls/rustls/commit/2123576840aa31043a31b0770e6572136fbe0c2d",https://github.com/rustls/rustls/security/advisories/GHSA-6g7w-8wpp-frhj
RUSTSEC-2024-0335,gix-transport,2024-04-13,"[""code-execution""]","[""CWE-77"", ""CWE-88""]",https://github.com/Byron/gitoxide/security/advisories/GHSA-98p4-xjmm-8mfh,[N/A],Medium,"[""CVE-2024-32884"", ""GHSA-98p4-xjmm-8mfh""]",[N/A],"patched = ["">= 0.42.0""]",[N/A],[N/A],https://github.com/GitoxideLabs/gitoxide/commit/f56ad390a5569d0129b7b16632991d18b9ddb4f7,https://github.com/GitoxideLabs/gitoxide/security/advisories/GHSA-98p4-xjmm-8mfh
RUSTSEC-2024-0021,eyre,2024-03-05,"[""memory-corruption""]","[""CWE-843""]",https://github.com/eyre-rs/eyre/issues/141,[N/A],High,"[""GHSA-4v52-7q2x-v4xj""]",[N/A],"patched = ["">= 0.6.12""]
unaffected = [""< 0.6.9""]","functions = { ""eyre::Report::downcast"" = ["">= 0.6.9, < 0.6.12""] }",[N/A],https://github.com/eyre-rs/eyre/pull/143/files,https://github.com/eyre-rs/eyre/issues/141
RUSTSEC-2024-0012,serde-json-wasm,2024-01-24,"[""denial-of-service""]",[],[N/A],[N/A],High,"[""GHSA-rr69-rxr6-8qwf""]","[""stack-overflow"", ""json""]","patched = ["">= 1.0.1"", "">= 0.5.2, < 1.0.0""]",[N/A],[N/A],https://github.com/CosmWasm/serde-json-wasm/commit/e78f9e28b3a2151d3175ee88ab2a001bf9515429,https://github.com/CosmWasm/serde-json-wasm/commit/e78f9e28b3a2151d3175ee88ab2a001bf9515429
RUSTSEC-2024-0011,snow,2024-01-23,"[""crypto-failure""]","[""CWE-440""]",https://github.com/mcginty/snow/security/advisories/GHSA-7g9j-g5jg-3vv3,[N/A],[N/A],"[""GHSA-7g9j-g5jg-3vv3""]","[""noise"", ""nonce"", ""state""]","patched = ["">= 0.9.5""]",[N/A],[N/A],https://github.com/mcginty/snow/commit/12e8ae55547ae297d5f70599e5c884ea891303eb,https://github.com/mcginty/snow/commit/12e8ae55547ae297d5f70599e5c884ea891303eb
RUSTSEC-2024-0010,svix,2024-02-06,"[""crypto-failure""]","[""CWE-288"", ""CWE-347""]",https://github.com/svix/svix-webhooks/pull/1190,[N/A],Medium,"[""CVE-2024-21491"", ""GHSA-747x-5m58-mq97"", ""GHSA-w277-wpqf-rcfv""]",[N/A],"patched = ["">= 1.17.0""]","functions = { ""svix::webhooks::Webhook::verify"" = [""< 1.17.0""] }",[N/A],https://github.com/svix/svix-webhooks/pull/1190/files,https://github.com/svix/svix-webhooks/pull/1190/files
RUSTSEC-2024-0009,trillium-http,2024-01-23,"[""format-injection""]","[""CWE-113"", ""CWE-436""]",https://github.com/trillium-rs/trillium/security/advisories/GHSA-9f9p-cp3c-72jf,[N/A],Medium,"[""GHSA-9f9p-cp3c-72jf"", ""CVE-2024-23644""]","[""http"", ""request"", ""splitting""]","patched = ["">= 0.3.12""]
unaffected = []",[N/A],[N/A],https://github.com/trillium-rs/trillium/commit/8d468f85e27b8d0943d6f43ce9f8c7397141a999,"https://github.com/trillium-rs/trillium/commit/8d468f85e27b8d0943d6f43ce9f8c7397141a999

https://github.com/trillium-rs/trillium/commit/16a42b3f8378a3fa4e61ece3e3e37e6a530df51d"
RUSTSEC-2023-0085,hpack,2023-09-15,"[""denial-of-service""]","[""CWE-754""]",https://github.com/mlalic/hpack-rs/issues/11,"[""https://github.com/sno2/hpack-rs-patched/commit/d669282924a95311599e9e7dd53869ee96b3a2f5""]",High,"[""GHSA-w7hm-hmxv-pvhf""]",[N/A],patched = [],[N/A],[N/A],https://github.com/sno2/hpack-rs-patched/commit/d669282924a95311599e9e7dd53869ee96b3a2f5,https://github.com/advisories/GHSA-w7hm-hmxv-pvhf
RUSTSEC-2023-0082,phonenumber,2023-09-19,"[""denial-of-service""]","[""CWE-248"", ""CWE-392"", ""CWE-1284""]",https://github.com/whisperfish/rust-phonenumber/security/advisories/GHSA-whhr-7f2w-qqj2,"[""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-42444""]",High,"[""CVE-2023-42444"", ""whhr-7f2w-qqj2""]","[""panic"", ""untrusted input"", ""parsing""]","patched = ["">= 0.2.5, <0.3.0"", "">=0.3.3""]","functions = { ""phonenumber::parse"" = [""*""] }",[N/A],https://github.com/whisperfish/rust-phonenumber/commit/bea8e732b9cada617ede5cf51663dba183747f71,https://github.com/whisperfish/rust-phonenumber/commit/bea8e732b9cada617ede5cf51663dba183747f71
RUSTSEC-2023-0080,transpose,2023-12-18,"[""memory-corruption""]","[""CWE-120"", ""CWE-190""]",https://github.com/ejmahler/transpose/issues/11,[N/A],Critical,"[""GHSA-5gmm-6m36-r7jh""]",[N/A],"patched = ["">= 0.2.3""]","functions = { ""transpose::transpose"" = ["">= 0.1.0""] }",[N/A],https://github.com/ejmahler/transpose/commit/c4bcd39fabca9a31a401d0cc42d4090869b5a37a,https://github.com/ejmahler/transpose/issues/11
RUSTSEC-2023-0077,rosenpass,2023-11-04,"[""denial-of-service""]","[""CWE-130""]",[N/A],"[""https://github.com/rosenpass/rosenpass/commit/93439858d1c44294a7b377f775c4fc897a370bb2""]",High,"[""GHSA-6ggr-cwv4-g7qg""]","[""remote"", ""single-byte""]","patched = ["">= 0.2.1""]",[N/A],[N/A],https://github.com/rosenpass/rosenpass/commit/93439858d1c44294a7b377f775c4fc897a370bb2,https://github.com/rosenpass/rosenpass/commit/93439858d1c44294a7b377f775c4fc897a370bb2
RUSTSEC-2023-0074,zerocopy,2023-12-14,"[""memory-corruption""]",[],https://github.com/google/zerocopy/issues/716,[N/A],[N/A],"[""GHSA-3mv5-343c-w2qg"", ""GHSA-rjhf-4mh8-9xjq""]","[""ref"", ""refcell"", ""mutable-aliasing""]","patched = ["">= 0.2.9, < 0.3.0"", "">= 0.3.2, < 0.4.0"", "">= 0.4.1, < 0.5.0"", "">= 0.5.2, < 0.6.0"", "">= 0.6.6, < 0.7.0"", "">= 0.7.31""]
unaffected = [""< 0.2.2""]",[N/A],"""zerocopy::Ref::into_ref"" = ["">= 0.2.2, < 0.2.9"", "">= 0.3.0, < 0.3.2"", "">= 0.4.0, < 0.4.1"", "">= 0.5.0, < 0.5.2"", "">= 0.6.0, < 0.6.6"", "">= 0.7.0, < 0.7.31""]
""zerocopy::Ref::into_mut"" = ["">= 0.2.2, < 0.2.9"", "">= 0.3.0, < 0.3.2"", "">= 0.4.0, < 0.4.1"", "">= 0.5.0, < 0.5.2"", "">= 0.6.0, < 0.6.6"", "">= 0.7.0, < 0.7.31""]
""zerocopy::Ref::into_slice"" = ["">= 0.2.2, < 0.2.9"", "">= 0.3.0, < 0.3.2"", "">= 0.4.0, < 0.4.1"", "">= 0.5.0, < 0.5.2"", "">= 0.6.0, < 0.6.6"", "">= 0.7.0, < 0.7.31""]
""zerocopy::Ref::into_mut_slice"" = ["">= 0.2.2, < 0.2.9"", "">= 0.3.0, < 0.3.2"", "">= 0.4.0, < 0.4.1"", "">= 0.5.0, < 0.5.2"", "">= 0.6.0, < 0.6.6"", "">= 0.7.0, < 0.7.31""]",https://github.com/google/zerocopy/commit/7d3a8f9ea6bcf982ecd77db39a8be410b098232e,https://github.com/google/zerocopy/issues/716
RUSTSEC-2023-0070,self_cell,2023-11-10,"[""memory-corruption""]",[],https://github.com/Voultapher/self_cell/issues/49,[N/A],[N/A],"[""GHSA-48m6-wm5p-rr6h""]","[""unsound"", ""self_cell"", ""self-referential""]","patched = ["">= 0.10.3, < 1.0.0"", "">= 1.0.2""]",[N/A],[N/A],https://github.com/Voultapher/self_cell/pull/50/files,https://github.com/Voultapher/self_cell/issues/49
RUSTSEC-2023-0068,cocoon,2023-10-15,"[""crypto-failure""]",[],https://github.com/fadeevab/cocoon/issues/22,[N/A],Medium,"[""GHSA-6878-6wc2-pf5h""]","[""nonce"", ""stream-cipher""]","patched = ["">= 0.4.0""]",[N/A],"""cocoon::Cocoon::encrypt"" = [""<= 0.3.3""]
""cocoon::Cocoon::dump"" = [""<= 0.3.3""]
""cocoon::Cocoon::wrap"" = [""<= 0.3.3""]
""cocoon::MiniCocoon::encrypt"" = [""<= 0.3.3""]
""cocoon::MiniCocoon::dump"" = [""<= 0.3.3""]
""cocoon::MiniCocoon::wrap"" = [""<= 0.3.3""]",https://github.com/fadeevab/cocoon/pull/23/files,https://rustsec.org/advisories/RUSTSEC-2023-0068
RUSTSEC-2023-0066,pleaser,2023-04-29,"[""privilege-escalation""]","[""CWE-269""]",https://gitlab.com/edneville/please/-/issues/13,[N/A],Medium,"[""CVE-2023-46277"", ""GHSA-cgf8-h3fp-h956""]",[],patched = [],[N/A],[N/A],https://gitlab.com/edneville/please/-/merge_requests/69/diffs#note_1594254575,https://rustsec.org/advisories/RUSTSEC-2023-0066
RUSTSEC-2023-0062,bcder,2023-09-13,"[""denial-of-service""]","[""CWE-228"", ""CWE-232"", ""CWE-240""]",https://nlnetlabs.nl/downloads/bcder/CVE-2023-39914.txt,"[""https://github.com/NLnetLabs/bcder/pull/74""]",High,"[""CVE-2023-39914"", ""GHSA-6jmw-6mxw-w4jc""]","[""example"", ""freeform"", ""keywords""]","patched = ["">= 0.7.3""]",[N/A],[N/A],https://github.com/NLnetLabs/bcder/pull/74/files,https://github.com/NLnetLabs/bcder/pull/74/files
RUSTSEC-2023-0044,openssl,2023-06-20,"[""memory-exposure""]","[""CWE-126""]",https://github.com/sfackler/rust-openssl/issues/1965,[N/A],[N/A],"[""GHSA-xcf7-rvmh-g6q4""]",[N/A],"patched = ["">= 0.10.55""]","functions = { ""openssl::x509::verify::X509VerifyParamRef::set_host"" = [""< 0.10.55, >=0.10.0""] }",[N/A],https://github.com/sfackler/rust-openssl/pull/1968/files,https://github.com/sfackler/rust-openssl/issues/1965
RUSTSEC-2023-0039,buffered-reader,2023-05-16,"[""denial-of-service""]",[],https://lists.sequoia-pgp.org/hyperkitty/list/announce@lists.sequoia-pgp.org/thread/SN2E3QRT4DMQ5JNEK6VIN6DJ5SH766DI/,"[""https://gitlab.com/sequoia-pgp/sequoia/-/tags/buffered-reader%2Fv1.2.0""]",[N/A],"[""GHSA-29mf-62xx-28jq""]","[""panic""]","patched = ["">= 1.0.2, < 1.1.0"", "">= 1.1.5, < 1.2.0"", "">= 1.2.0""]",[N/A],[N/A],https://gitlab.com/sequoia-pgp/sequoia/-/commit/f6307652fb2cbf4e0fbd3f897b1ec70863fcfa61,https://gitlab.com/sequoia-pgp/sequoia/-/commit/f6307652fb2cbf4e0fbd3f897b1ec70863fcfa61
RUSTSEC-2023-0030,versionize,2023-03-24,"[""memory-exposure""]","[""CWE-125""]",https://github.com/firecracker-microvm/versionize/pull/53,[N/A],Medium,"[""CVE-2023-28448"", ""GHSA-8vxc-r5wp-vgvc""]",[N/A],"patched = ["">= 0.1.10""]","os = [""linux""]",[N/A],https://github.com/firecracker-microvm/versionize/pull/53/files,https://github.com/firecracker-microvm/versionize/pull/53/files
RUSTSEC-2023-0024,openssl,2023-03-24,"[""denial-of-service""]","[""CWE-476""]",https://github.com/sfackler/rust-openssl/pull/1854,[N/A],[N/A],"[""GHSA-6hcf-g6gr-hhcr""]",[N/A],"patched = ["">= 0.10.48""]","functions = { ""openssl::x509::X509Extension::new"" = [""< 0.10.48, >=0.9.7""], ""openssl::x509::X509Extension::new_nid"" = [""< 0.10.48, >=0.9.7""] }",[N/A],https://github.com/sfackler/rust-openssl/pull/1854/commits/78aa9aa22cfd58ac33d1e19184cec667438fd2a1,https://github.com/sfackler/rust-openssl/pull/1854/commits/78aa9aa22cfd58ac33d1e19184cec667438fd2a1
RUSTSEC-2022-0102,wasmtime,2022-11-05,"[""memory-corruption""]","[""CWE-119"", ""CWE-125"", ""CWE-787""]",https://github.com/bytecodealliance/wasmtime/security/advisories/GHSA-44mr-8vmm-wjhg,[N/A],Medium,"[""CVE-2022-39392"", ""GHSA-44mr-8vmm-wjhg""]",[],"patched = ["">= 1.0.2, < 2.0.0"", "">= 2.0.2""]",[N/A],[N/A],https://github.com/bytecodealliance/wasmtime/commit/e60c3742904ccbb3e26da201c9221c38a4981d72,https://github.com/bytecodealliance/wasmtime/commit/e60c3742904ccbb3e26da201c9221c38a4981d72
RUSTSEC-2022-0101,wasmtime,2022-07-05,"[""denial-of-service""]","[""CWE-682"", ""CWE-824""]",https://github.com/bytecodealliance/wasmtime/security/advisories/GHSA-7f6x-jwh5-m9r4,[N/A],Medium,"[""CVE-2022-23636"", ""GHSA-7f6x-jwh5-m9r4""]",[],"patched = ["">= 0.38.2""]",[N/A],[N/A],https://github.com/bytecodealliance/wasmtime/commit/2ba4bce5cc719e5a74e571a534424614e62ecc41,https://github.com/bytecodealliance/wasmtime/commit/886ecc562040bef61faf19438c22285c2d62403a
RUSTSEC-2022-0098,wasmtime,2022-11-05,"[""memory-exposure""]","[""CWE-212"", ""CWE-226""]",https://github.com/bytecodealliance/wasmtime/security/advisories/GHSA-wh6w-3828-g9qf,[N/A],High,"[""CVE-2022-39393"", ""GHSA-wh6w-3828-g9qf""]",[],"patched = ["">= 1.0.2, < 2.0.0"", "">= 2.0.2""]",[N/A],[N/A],https://github.com/bytecodealliance/wasmtime/commit/2614f2e9d2d36805ead8a8da0fa0c6e0d9e428a0,https://github.com/bytecodealliance/wasmtime/commit/2614f2e9d2d36805ead8a8da0fa0c6e0d9e428a0
